date,pv
2023-02-09,56405.37151918888
2023-02-10,56281.94639215946
2023-02-13,56587.97601628551
2023-02-14,57387.85870439252
2023-02-15,57290.26841241559
2023-02-16,57169.29939729413
2023-02-17,56803.998070542424
2023-02-20,56722.88458629606
2023-02-21,56214.04310116708
2023-02-22,56882.20910725534
2023-02-23,55984.18372998178
2023-02-24,55454.291283463834
2023-02-27,56222.619985602316
2023-02-28,56375.58348668348
2023-03-01,56163.25791451665
2023-03-02,56301.84989449712
2023-03-03,57160.38249489995
2023-03-06,56916.30580254727
2023-03-07,56785.207220488024
2023-03-08,56665.7442633471
2023-03-09,56487.99931821908
2023-03-10,55467.78625396848
2023-03-13,54878.33103469968
2023-03-14,56322.92228607297
2023-03-15,53897.279715577366
2023-03-16,54911.95946792722
2023-03-17,54151.79956677332
2023-03-20,55040.908431419564
2023-03-21,55439.90534151478
2023-03-22,55702.369269737435
2023-03-23,55839.14520586414
2023-03-24,54766.855419109816
2023-03-27,55349.417339275824
2023-03-28,55634.959285686964
2023-03-29,56585.874126385206
2023-03-30,57989.3448013298
2023-03-31,58576.99149523971
2023-04-03,58368.529227971885
2023-04-04,58443.88893069314
2023-04-05,57609.99191226052
2023-04-06,57372.964072599876
2023-04-11,58247.08604373025
2023-04-12,58546.64891437869
2023-04-13,58994.15619282107
2023-04-14,59605.30871204715
2023-04-17,59905.737668400354
2023-04-18,60931.056836493466
2023-04-19,61106.176837373096
2023-04-20,60997.90867941411
2023-04-21,61890.08571951421
2023-04-24,62006.596751233934
2023-04-25,61920.669322034715
2023-04-26,62290.20971204936
2023-04-27,61724.79328443706
2023-04-28,60716.55099775493
2023-05-02,58128.45905367869
2023-05-03,58357.075309910906
2023-05-04,57802.78881041232
2023-05-05,57889.9176022214
2023-05-08,57923.95053936984
2023-05-09,57877.60484945564
2023-05-10,57850.30651724128
2023-05-11,58016.449705717845
2023-05-12,58079.69124782379
2023-05-15,58106.20061672027
2023-05-16,58030.87661922271
2023-05-17,58043.99405086334
2023-05-19,58340.67922312961
2023-05-22,58336.83105044569
2023-05-23,58296.02942996229
2023-05-24,58092.90094332899
2023-05-25,58188.55491976942
2023-05-26,58339.35122256483
2023-05-29,58315.107745697154
2023-05-30,58334.671710540904
2023-05-31,58184.76288180555
2023-06-01,58280.9706836244
2023-06-02,58324.093902705485
2023-06-05,58400.57479870158
2023-06-07,59791.17102062541
2023-06-08,60069.06119549113
2023-06-09,60031.772688223966
2023-06-12,60504.62626068565
2023-06-13,61186.53390494609
2023-06-14,60905.73447409892
2023-06-15,59687.86970511699
2023-06-16,59468.762043717186
2023-06-19,58624.35952310598
2023-06-20,58508.09012465532
2023-06-21,57531.36654524858
2023-06-22,56820.38308959062
2023-06-26,56779.42341094072
2023-06-27,56327.254305410934
2023-06-28,56527.44568877275
2023-06-29,56214.10159839884
